Date,Open,High,Low,Close,Volume,Adj Close
2006-11-23,85.35,85.80,85.21,85.53,268100,33.913
2006-11-22,85.01,86.00,84.87,85.35,437800,33.842
2006-11-21,86.00,86.20,85.30,85.50,373000,33.901
2006-11-20,85.21,86.08,84.94,85.78,343600,34.012
2006-11-17,85.46,86.37,85.46,85.86,417900,34.044
2006-11-16,86.50,86.50,85.63,86.08,580600,34.131
2006-11-15,85.60,86.77,85.52,86.39,990700,34.254
2006-11-14,85.30,85.75,84.98,85.74,465600,33.996
2006-11-13,83.25,85.65,83.17,85.25,953300,33.802
2006-11-10,83.65,84.52,83.36,83.73,1318200,33.199
2006-11-09,83.92,84.84,83.80,84.33,491900,33.437
2006-11-08,85.00,85.30,84.20,84.34,803800,33.441
2006-11-07,84.95,85.66,84.81,85.45,760700,33.881
2006-11-06,84.55,86.15,84.00,84.94,1089000,33.679
2006-11-03,84.50,85.90,84.50,85.49,873100,33.897
2006-11-02,83.13,85.40,83.07,84.92,1563600,33.671
2006-11-01,83.10,83.76,82.74,83.20,723200,32.989
2006-10-31,82.50,83.25,82.25,82.60,707300,32.751
2006-10-30,82.00,83.15,82.00,82.61,721800,32.755
2006-10-27,81.79,82.87,81.25,82.53,1044800,32.723
2006-10-26,83.40,83.40,81.67,82.00,758300,32.513
2006-10-25,81.02,83.85,81.02,83.10,1754200,32.949
2006-10-24,79.03,81.88,79.00,81.40,1742200,32.275
2006-10-23,81.39,81.58,80.75,80.80,886100,32.037
2006-10-20,79.33,81.72,79.33,81.23,1209200,32.208
2006-10-19,78.50,80.10,78.46,79.49,782900,31.518
2006-10-18,79.34,79.92,78.36,79.30,809000,31.443
2006-10-17,79.40,79.84,77.21,79.45,1611400,31.502
2006-10-16,80.54,81.24,79.52,79.89,769700,31.677
2006-10-13,81.98,82.05,80.25,80.45,901600,31.899
2006-10-12,81.93,82.98,81.41,82.00,514900,32.513
2006-10-11,81.00,81.79,80.36,81.65,657400,32.374
2006-10-10,81.61,82.00,80.51,81.27,1097100,32.224
2006-10-09,81.00,82.00,81.00,81.70,441900,32.394
2006-10-06,82.30,82.66,81.84,81.84,362700,32.45
2006-10-05,83.16,83.63,82.16,82.43,517900,32.684
2006-10-04,82.48,83.23,82.23,83.00,935700,32.91
2006-10-03,83.40,83.46,82.53,82.90,508500,32.87
2006-10-02,83.49,83.49,82.00,83.46,775500,33.092
2006-09-29,81.50,84.45,81.30,83.62,1425000,33.156
2006-09-28,80.75,82.50,80.00,81.75,1514300,32.414
2006-09-27,79.72,81.58,79.24,81.08,1565700,32.148
2006-09-26,78.50,79.80,78.17,79.72,1594600,31.609
2006-09-25,77.90,78.92,77.10,78.04,1709200,30.943
2006-09-22,74.75,78.08,74.65,76.90,3337100,30.491
2006-09-21,74.10,75.50,73.26,74.70,5995500,29.619
2006-09-20,76.45,78.44,75.81,78.36,903500,31.07
2006-09-19,77.00,77.50,76.14,76.19,691000,30.21
2006-09-18,75.94,77.23,75.94,77.01,333000,30.535
2006-09-15,76.00,76.28,75.61,75.98,768700,30.126
2006-09-14,76.80,77.23,75.66,75.91,693400,30.099
2006-09-13,75.50,76.80,75.50,76.74,1016400,30.428
2006-09-12,74.39,75.30,73.68,74.80,848000,29.658
2006-09-11,75.15,75.55,73.02,73.90,977900,29.302
2006-09-08,74.71,76.50,74.71,75.87,643800,30.083
2006-09-07,75.61,75.67,74.52,74.84,627700,29.674
2006-09-06,76.88,77.50,75.63,76.17,678400,30.202
2006-09-05,76.90,76.90,75.65,76.66,526000,30.396
2006-09-04,77.55,77.96,76.75,77.11,443900,30.574
2006-09-01,77.79,77.79,76.56,77.63,700700,30.781
2006-08-31,78.10,78.25,77.31,77.49,822200,30.725
2006-08-30,76.90,78.00,76.90,77.75,738700,30.828
2006-08-29,75.95,77.30,75.95,77.14,617000,30.586
2006-08-28,76.50,77.14,76.31,76.71,297800,30.416
2006-08-25,76.55,76.73,75.91,76.46,468000,30.317
2006-08-24,76.80,76.89,75.40,76.28,893400,30.245
2006-08-23,75.95,77.40,75.82,76.45,817400,30.313
2006-08-22,76.89,77.41,76.06,76.42,711900,30.301
2006-08-21,75.41,77.10,75.40,75.77,990600,30.043
2006-08-18,75.29,77.19,74.50,75.43,1420600,29.908
2006-08-17,71.50,75.35,71.50,75.25,2203400,29.837
2006-08-16,71.25,72.20,70.94,71.71,1045300,28.433
2006-08-15,69.01,71.20,69.01,70.82,450300,28.08
2006-08-14,69.10,69.86,68.54,69.69,402900,27.632
2006-08-11,69.21,69.21,68.12,68.81,485700,27.283
2006-08-10,69.00,69.99,68.00,69.21,599800,27.442
2006-08-09,69.99,70.46,69.02,69.33,609300,27.49
2006-08-08,70.66,70.66,69.15,69.36,456100,27.501
2006-08-07,70.01,71.19,69.96,70.35,534000,27.894
2006-08-04,71.40,71.50,70.52,71.21,516200,28.235
2006-08-03,70.90,71.45,70.06,70.92,570200,28.12
2006-08-02,70.19,71.22,69.95,71.11,887900,28.195
2006-08-01,71.99,71.99,69.72,70.36,706800,27.898
2006-07-31,70.70,72.13,70.50,71.42,927700,28.318
2006-07-28,70.00,70.49,69.11,70.45,1337300,27.934
2006-07-27,71.80,73.05,69.16,69.62,1761200,27.605
2006-07-26,70.26,72.27,69.25,71.75,2477100,28.449
2006-07-25,69.70,70.65,69.31,70.40,2632300,27.914
2006-07-24,67.90,69.29,67.60,69.20,1025800,27.438
2006-07-21,69.45,69.45,66.86,67.30,1624000,26.685
2006-07-20,67.70,69.98,67.57,69.26,2014500,27.462
2006-07-19,64.74,67.83,64.00,67.50,1675300,26.764
2006-07-18,64.24,65.35,63.54,63.96,1246100,25.36
2006-07-17,65.56,65.56,62.56,64.28,1371100,25.487
2006-07-14,67.40,67.58,64.50,64.82,1366100,25.701
2006-07-13,67.25,67.50,66.80,67.08,795100,26.597
2006-07-12,67.46,67.70,66.86,67.38,1006200,26.716
2006-07-11,67.89,68.40,66.70,67.70,1841800,26.843
2006-07-10,67.48,68.51,66.55,67.61,1224300,26.808
2006-07-07,69.90,70.95,66.40,67.27,2789600,26.673
2006-07-06,71.10,71.10,68.92,69.83,1742600,27.688
2006-07-05,72.70,72.70,70.35,70.90,1576300,28.112
2006-07-04,72.70,73.46,72.25,72.69,1104100,28.822
2006-07-03,70.73,71.50,69.69,71.34,810900,28.286
2006-06-30,71.50,71.84,70.29,71.10,1504300,28.191
2006-06-29,69.13,70.40,68.11,69.99,859700,27.751
2006-06-28,68.85,68.85,67.64,68.49,949300,27.156
2006-06-27,69.90,70.00,68.55,68.80,864500,27.279
2006-06-26,70.44,70.44,69.00,69.78,592700,27.668
2006-06-23,69.90,71.50,69.03,69.59,3285400,27.593
2006-06-22,74.24,74.64,72.73,74.13,877600,29.393
2006-06-21,74.00,74.60,72.31,73.25,700600,29.044
2006-06-20,72.75,73.50,72.05,73.40,804900,29.103
2006-06-19,73.70,73.70,72.51,72.90,484500,28.905
2006-06-16,72.58,72.58,72.58,72.58,000,28.778
2006-06-15,72.58,72.58,72.58,72.58,000,28.778
2006-06-14,68.30,73.00,68.30,72.58,2378000,28.778
2006-06-13,70.50,71.15,67.86,68.45,1825400,27.141
2006-06-12,74.53,74.53,69.56,71.98,2392000,28.54
2006-06-09,73.14,74.44,71.57,73.95,978400,29.321
2006-06-08,72.25,73.38,71.57,72.50,1610400,28.746
2006-06-07,77.50,77.50,73.55,74.09,2932400,29.377
2006-06-06,79.50,79.91,77.78,77.95,961000,30.907
2006-06-05,81.50,81.64,79.75,80.58,403600,31.95
2006-06-02,81.70,82.99,80.32,81.11,763000,32.16
2006-06-01,80.11,80.96,78.80,80.57,465200,31.946
2006-05-31,78.53,80.53,77.00,80.10,633400,31.76
2006-05-30,80.50,81.46,79.00,79.82,535700,31.649
2006-05-29,81.50,81.80,79.69,81.38,184000,32.267
2006-05-26,80.40,81.35,78.30,81.35,964900,32.255
2006-05-25,80.11,81.23,78.52,79.94,563600,31.696
2006-05-24,78.50,81.11,78.10,79.85,1271800,31.661
2006-05-23,78.10,79.70,76.64,78.73,1246700,31.217
2006-05-22,80.79,80.85,77.51,78.01,1051600,30.931
