Websuche-Interesse: rossmann,,,,,,,
Deutschland; Dez. 2012 - Sep. 2015,,,,,,,
,,,,,,,
Interesse im Laufe der Zeit,,,,,,,
Woche,,,Dez. 2012 - Sep. 2015,,,,"""Date"";""Goog_trend_ALL"""
,,,,,1/4/14,65,2014-01-04;65
,,,,,1/5/14,67,2014-01-05;67
,,,,,1/6/14,67,2014-01-06;67
,,,,,1/7/14,67,2014-01-07;67
,,,,,1/8/14,67,2014-01-08;67
,,,,,1/9/14,67,2014-01-09;67
,,,,,1/10/14,67,2014-01-10;67
,,,,,1/11/14,67,2014-01-11;67
,,,,,1/12/14,55,2014-01-12;55
,,,,,1/13/14,55,2014-01-13;55
,,,,,1/14/14,55,2014-01-14;55
,,,,,1/15/14,55,2014-01-15;55
,,,,,1/16/14,55,2014-01-16;55
,,,,,1/17/14,55,2014-01-17;55
,,,,,1/18/14,55,2014-01-18;55
,,,,,1/19/14,67,2014-01-19;67
,,,,,1/20/14,67,2014-01-20;67
,,,,,1/21/14,67,2014-01-21;67
,,,,,1/22/14,67,2014-01-22;67
,,,,,1/23/14,67,2014-01-23;67
,,,,,1/24/14,67,2014-01-24;67
,,,,,1/25/14,67,2014-01-25;67
,,,,,1/26/14,57,2014-01-26;57
,,,,,1/27/14,57,2014-01-27;57
,,,,,1/28/14,57,2014-01-28;57
,,,,,1/29/14,57,2014-01-29;57
,,,,,1/30/14,57,2014-01-30;57
,,,,,1/31/14,57,2014-01-31;57
,,,,,2/1/14,57,2014-02-01;57
,,,,,2/2/14,68,2014-02-02;68
,,,,,2/3/14,68,2014-02-03;68
,,,,,2/4/14,68,2014-02-04;68
,,,,,2/5/14,68,2014-02-05;68
,,,,,2/6/14,68,2014-02-06;68
,,,,,2/7/14,68,2014-02-07;68
,,,,,2/8/14,68,2014-02-08;68
,,,,,2/9/14,57,2014-02-09;57
,,,,,2/10/14,57,2014-02-10;57
,,,,,2/11/14,57,2014-02-11;57
,,,,,2/12/14,57,2014-02-12;57
,,,,,2/13/14,57,2014-02-13;57
,,,,,2/14/14,57,2014-02-14;57
,,,,,2/15/14,57,2014-02-15;57
,,,,,2/16/14,68,2014-02-16;68
,,,,,2/17/14,68,2014-02-17;68
,,,,,2/18/14,68,2014-02-18;68
,,,,,2/19/14,68,2014-02-19;68
,,,,,2/20/14,68,2014-02-20;68
,,,,,2/21/14,68,2014-02-21;68
,,,,,2/22/14,68,2014-02-22;68
,,,,,2/23/14,56,2014-02-23;56
,,,,,2/24/14,56,2014-02-24;56
,,,,,2/25/14,56,2014-02-25;56
,,,,,2/26/14,56,2014-02-26;56
,,,,,2/27/14,56,2014-02-27;56
,,,,,2/28/14,56,2014-02-28;56
,,,,,3/1/14,56,2014-03-01;56
,,,,,3/2/14,67,2014-03-02;67
,,,,,3/3/14,67,2014-03-03;67
,,,,,3/4/14,67,2014-03-04;67
,,,,,3/5/14,67,2014-03-05;67
,,,,,3/6/14,67,2014-03-06;67
,,,,,3/7/14,67,2014-03-07;67
,,,,,3/8/14,67,2014-03-08;67
,,,,,3/9/14,55,2014-03-09;55
,,,,,3/10/14,55,2014-03-10;55
,,,,,3/11/14,55,2014-03-11;55
,,,,,3/12/14,55,2014-03-12;55
,,,,,3/13/14,55,2014-03-13;55
,,,,,3/14/14,55,2014-03-14;55
,,,,,3/15/14,55,2014-03-15;55
,,,,,3/16/14,70,2014-03-16;70
,,,,,3/17/14,70,2014-03-17;70
,,,,,3/18/14,70,2014-03-18;70
,,,,,3/19/14,70,2014-03-19;70
,,,,,3/20/14,70,2014-03-20;70
,,,,,3/21/14,70,2014-03-21;70
,,,,,3/22/14,70,2014-03-22;70
,,,,,3/23/14,55,2014-03-23;55
,,,,,3/24/14,55,2014-03-24;55
,,,,,3/25/14,55,2014-03-25;55
,,,,,3/26/14,55,2014-03-26;55
,,,,,3/27/14,55,2014-03-27;55
,,,,,3/28/14,55,2014-03-28;55
,,,,,3/29/14,55,2014-03-29;55
,,,,,3/30/14,66,2014-03-30;66
,,,,,3/31/14,66,2014-03-31;66
,,,,,4/1/14,66,2014-04-01;66
,,,,,4/2/14,66,2014-04-02;66
,,,,,4/3/14,66,2014-04-03;66
,,,,,4/4/14,66,2014-04-04;66
,,,,,4/5/14,66,2014-04-05;66
,,,,,4/6/14,57,2014-04-06;57
,,,,,4/7/14,57,2014-04-07;57
,,,,,4/8/14,57,2014-04-08;57
,,,,,4/9/14,57,2014-04-09;57
,,,,,4/10/14,57,2014-04-10;57
,,,,,4/11/14,57,2014-04-11;57
,,,,,4/12/14,57,2014-04-12;57
,,,,,4/13/14,69,2014-04-13;69
,,,,,4/14/14,69,2014-04-14;69
,,,,,4/15/14,69,2014-04-15;69
,,,,,4/16/14,69,2014-04-16;69
,,,,,4/17/14,69,2014-04-17;69
,,,,,4/18/14,69,2014-04-18;69
,,,,,4/19/14,69,2014-04-19;69
,,,,,4/20/14,56,2014-04-20;56
,,,,,4/21/14,56,2014-04-21;56
,,,,,4/22/14,56,2014-04-22;56
,,,,,4/23/14,56,2014-04-23;56
,,,,,4/24/14,56,2014-04-24;56
,,,,,4/25/14,56,2014-04-25;56
